Alpha = 0.5, total evaluations = 31603419
Alpha = 1.0, total evaluations = 1897316
Alpha = 1.5, total evaluations = 338072
Alpha = 20,  total evaluations = 25654043

[1 - 10, дихотомия]
Alpha = 3.169999999999975, total evaluations = 117581, total time = 353
Alpha = 3.179999999999975, total evaluations = 117581, total time = 359
Alpha = 3.1899999999999746, total evaluations = 117581, total time = 366
Alpha = 3.1999999999999744, total evaluations = 117581, total time = 360
Alpha = 3.209999999999974, total evaluations = 117581, total time = 357
Alpha = 3.219999999999974, total evaluations = 117581, total time = 357
Alpha = 3.229999999999974, total evaluations = 117581, total time = 359
Alpha = 3.2399999999999736, total evaluations = 117581, total time = 386
Alpha = 3.2499999999999734, total evaluations = 117581, total time = 369
Alpha = 3.259999999999973, total evaluations = 118616, total time = 352
Alpha = 3.269999999999973, total evaluations = 118616, total time = 354
Alpha = 3.2799999999999727, total evaluations = 118616, total time = 361
Alpha = 3.2899999999999725, total evaluations = 118616, total time = 381
Alpha = 3.2999999999999723, total evaluations = 118616, total time = 360
Alpha = 3.309999999999972, total evaluations = 118616, total time = 361
Alpha = 3.319999999999972, total evaluations = 118616, total time = 358
Alpha = 3.3299999999999716, total evaluations = 118616, total time = 359
Alpha = 3.3399999999999714, total evaluations = 134503, total time = 455
Alpha = 3.3499999999999712, total evaluations = 134503, total time = 435
Alpha = 3.359999999999971, total evaluations = 134503, total time = 416
Alpha = 3.369999999999971, total evaluations = 134503, total time = 408
Alpha = 3.3799999999999706, total evaluations = 134503, total time = 412
Alpha = 3.3899999999999704, total evaluations = 134503, total time = 416
Alpha = 3.39999999999997, total evaluations = 134503, total time = 419
Alpha = 3.40999999999997, total evaluations = 134507, total time = 437
Alpha = 3.4199999999999697, total evaluations = 134507, total time = 417
Alpha = 3.4299999999999695, total evaluations = 134507, total time = 416
Alpha = 3.4399999999999693, total evaluations = 134507, total time = 412
Alpha = 3.449999999999969, total evaluations = 134507, total time = 414
Alpha = 3.459999999999969, total evaluations = 134507, total time = 419
Alpha = 3.4699999999999687, total evaluations = 134507, total time = 415
Alpha = 3.4799999999999685, total evaluations = 134507, total time = 414
Alpha = 3.4899999999999682, total evaluations = 134507, total time = 421
Alpha = 3.499999999999968, total evaluations = 134507, total time = 410
Alpha = 3.509999999999968, total evaluations = 170819, total time = 543
Alpha = 3.5199999999999676, total evaluations = 170819, total time = 539
Alpha = 3.5299999999999674, total evaluations = 170819, total time = 535
Alpha = 3.539999999999967, total evaluations = 170819, total time = 541
Alpha = 3.549999999999967, total evaluations = 170819, total time = 567
Alpha = 3.5599999999999667, total evaluations = 170819, total time = 569
Alpha = 3.5699999999999665, total evaluations = 170819, total time = 545
Alpha = 3.5799999999999663, total evaluations = 170819, total time = 540
Alpha = 3.589999999999966, total evaluations = 170819, total time = 551
Alpha = 3.599999999999966, total evaluations = 170819, total time = 543
Alpha = 3.6099999999999657, total evaluations = 170819, total time = 548
Alpha = 3.6199999999999655, total evaluations = 170819, total time = 534
Alpha = 3.6299999999999653, total evaluations = 170819, total time = 534
Alpha = 3.639999999999965, total evaluations = 170819, total time = 551
Alpha = 3.649999999999965, total evaluations = 170819, total time = 537
Alpha = 3.6599999999999646, total evaluations = 170819, total time = 539
Alpha = 3.6699999999999644, total evaluations = 198707, total time = 641
Alpha = 3.679999999999964, total evaluations = 198707, total time = 640
Alpha = 3.689999999999964, total evaluations = 198707, total time = 641
Alpha = 3.6999999999999638, total evaluations = 198707, total time = 667
Alpha = 3.7099999999999635, total evaluations = 198707, total time = 639
Alpha = 3.7199999999999633, total evaluations = 198707, total time = 661
Alpha = 3.729999999999963, total evaluations = 198707, total time = 654
Alpha = 3.739999999999963, total evaluations = 198707, total time = 642
Alpha = 3.7499999999999627, total evaluations = 198707, total time = 667
Alpha = 3.7599999999999625, total evaluations = 200048, total time = 694
Alpha = 3.7699999999999623, total evaluations = 200048, total time = 651
Alpha = 3.779999999999962, total evaluations = 200048, total time = 648
Alpha = 3.789999999999962, total evaluations = 200048, total time = 649
Alpha = 3.7999999999999616, total evaluations = 200048, total time = 650
Alpha = 3.8099999999999614, total evaluations = 200052, total time = 650
Alpha = 3.819999999999961, total evaluations = 200052, total time = 653
Alpha = 3.829999999999961, total evaluations = 200052, total time = 643
Alpha = 3.839999999999961, total evaluations = 200052, total time = 661
Alpha = 3.8499999999999606, total evaluations = 200052, total time = 669
Alpha = 3.8599999999999604, total evaluations = 200052, total time = 670
Alpha = 3.86999999999996, total evaluations = 200052, total time = 653
Alpha = 3.87999999999996, total evaluations = 200052, total time = 715
Alpha = 3.8899999999999597, total evaluations = 200052, total time = 654
Alpha = 3.8999999999999595, total evaluations = 200052, total time = 642
Alpha = 3.9099999999999593, total evaluations = 200052, total time = 647
Alpha = 3.919999999999959, total evaluations = 200052, total time = 644
Alpha = 3.929999999999959, total evaluations = 200052, total time = 667
Alpha = 3.9399999999999586, total evaluations = 200052, total time = 647
Alpha = 3.9499999999999584, total evaluations = 200052, total time = 652
Alpha = 3.959999999999958, total evaluations = 200052, total time = 673
Alpha = 3.969999999999958, total evaluations = 200052, total time = 651
Alpha = 3.979999999999958, total evaluations = 200052, total time = 665
Alpha = 3.9899999999999576, total evaluations = 200052, total time = 645
Alpha = 3.9999999999999574, total evaluations = 200052, total time = 667
